CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI2293,exponential,TL,1,1517,691,76711.9318181818,34942.6136363636,0,0,50.5681818181818,1,0
CI2293,exponential,TL,2,1414,1272,71503.4090909091,64322.7272727273,0,0,50.5681818181818,1,0
CI2293,exponential,TL,3,1627,812,82274.4318181818,41061.3636363636,0,0,50.5681818181818,1,0
CI2293,exponential,TL,4,721,893,36459.6590909091,45157.3863636364,0,0,50.5681818181818,1,0
CI2293,exponential,TL,5,1466,1264,74132.9545454545,63918.1818181818,0,0,50.5681818181818,1,0
CI2293,exponential,TL,6,645,887,32616.4772727273,44853.9772727273,0,0,50.5681818181818,1,0
CI2293,exponential,TL,7,1075,451,54360.7954545455,22806.25,0,0,50.5681818181818,1,0
CI2293,exponential,TL,8,1601,865,80959.6590909091,43741.4772727273,0,0,50.5681818181818,1,0
CI2293,exponential,TL,9,1570,737,79392.0454545455,37268.75,0,0,50.5681818181818,1,0
CI2293,exponential,TL,10,571,872,28874.4318181818,44095.4545454545,0,0,50.5681818181818,1,0
CI2293,exponential,TL,11,592,840,29936.3636363636,42477.2727272727,0,0,50.5681818181818,1,0
CI2293,exponential,TL,12,1394,1191,70492.0454545455,60226.7045454545,0,0,50.5681818181818,1,0
CI2293,exponential,TL,13,1070,427,54107.9545454545,21592.6136363636,0,0,50.5681818181818,1,0
CI2293,exponential,TL,14,775,559,39190.3409090909,28267.6136363636,0,0,50.5681818181818,1,0
CI2293,exponential,TL,15,1037,1674,52439.2045454545,84651.1363636364,0,0,50.5681818181818,1,0
CI2293,exponential,TL,16,832,1435,42072.7272727273,72565.3409090909,0,0,50.5681818181818,1,0
CI2293,exponential,TL,17,563,1279,28469.8863636364,64676.7045454546,0,0,50.5681818181818,1,0
CI2293,exponential,TL,18,1232,1115,62300,56383.5227272727,0,0,50.5681818181818,1,0
CI2293,exponential,TL,19,1109,1422,56080.1136363636,71907.9545454545,0,0,50.5681818181818,1,0
CI2293,exponential,TL,20,388,1055,19620.4545454545,53349.4318181818,0,0,50.5681818181818,1,0
CI2293,exponential,TL,21,1629,621,82375.5681818182,31402.8409090909,0,0,50.5681818181818,1,0
