CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1380,patient,EP,1,3052.26505139501,572.946402349486,82776.1466499406,15538.0658707085,23.6889425585781,642.434175994866,27.1195801334844,1,24
CI1380,patient,EP,2,3231.52790014684,687.113803230543,87637.6798416227,18634.2378475339,25.2415555351808,684.540388030131,27.1195801334844,1,24
CI1380,patient,EP,3,1573.05212922173,1300.15491923642,42660.513272577,35259.6555181759,28.2523059868511,766.190676166128,27.1195801334844,1,24
CI1380,patient,EP,4,3134.16850220264,2540.12738619677,84997.3338473272,68887.1881992214,27.3412882416563,741.484257422292,27.1195801334844,1,24
CI1380,patient,EP,1,2907.3516886931,518.011013215859,78846.1570977335,14048.2411829349,22.9946097812587,623.604162601048,27.1195801334844,2,24
CI1380,patient,EP,2,2894.33259911894,520.013950073421,78493.0848547622,14102.5599895459,25.7186035050321,697.477728676029,27.1195801334844,2,24
CI1380,patient,EP,3,2876.30616740088,552.06093979442,78004.2155952634,14971.6608953215,20.3541254306282,551.995335662912,27.1195801334844,2,24
CI1380,patient,EP,4,2700.64207048458,544.401982378855,73240.2790423657,14763.9531859511,5.14694104301988,139.582880058497,27.1195801334844,2,24
CI1380,patient,EP,5,2830.53744493392,628.215859030837,76762.9870587135,17036.9503301125,22.4122768858936,607.811538980831,27.1195801334844,2,24
CI1380,patient,EP,6,2758.22026431718,676.42731277533,74801.7754839502,18344.4247132881,20.1879637028233,547.489099370589,27.1195801334844,2,24
CI1380,patient,EP,7,2736.12334801762,701.537444933921,74202.5163916614,19025.4009545253,23.4128162880386,634.945747474011,27.1195801334844,2,24
CI1380,patient,EP,8,2672.84581497797,708.568281938326,72486.4562637434,19216.0743020718,26.3218843055173,713.838450687781,27.1195801334844,2,24
CI1380,patient,EP,9,2511.13656387665,586.030837004405,68100.9692701754,15892.9102448339,22.0455891296038,597.867120990162,27.1195801334844,2,24
CI1380,patient,EP,10,2518.16740088106,661.361233480176,68291.6426177219,17935.8389685457,24.309527428077,659.264177092871,27.1195801334844,2,24
CI1380,patient,EP,11,3056.52863436123,680.444933920705,82891.773229849,18453.380911886,26.3218843055173,713.838450687781,27.1195801334844,2,24
CI1380,patient,EP,12,3037.4449339207,766.823788546256,82374.2312865086,20795.9391817422,30.2819455542344,821.233649055871,27.1195801334844,2,24
CI1380,patient,EP,13,2920.93392070485,712.5859030837,79214.5015271677,19325.0305006697,26.2637571437244,712.262066465606,27.1195801334844,2,24
CI1380,patient,EP,14,2815.47136563877,791.933920704846,76354.4013139711,21476.9154229795,23.238091336599,630.207280152125,27.1195801334844,2,24
CI1380,patient,EP,15,2717.03964757709,831.105726872247,73684.9744483211,22539.2383593097,17.4249143314263,472.556360530216,27.1195801334844,2,24
CI1380,patient,EP,16,2651.75330396476,813.026431718062,71914.4362211041,22048.9354656188,18.1971845694337,493.500005134563,27.1195801334844,2,24
CI1380,patient,EP,17,2645.7268722467,826.083700440529,71751.0019232072,22403.0431110622,17.2486037487253,467.774891554273,27.1195801334844,2,24
CI1380,patient,EP,18,2603.54185022026,776.867841409692,70606.9618379286,21068.3296782371,25.7347052150994,697.914400292486,27.1195801334844,2,24
CI1380,patient,EP,19,2406.11453744493,705.911894273128,65252.8160085795,19144.0341839198,24.7457006850868,671.093012688429,27.1195801334844,2,24
CI1380,patient,EP,20,2455.33039647577,763.162995594714,66587.5294414046,20696.6600139408,26.2443528136698,711.735829181753,27.1195801334844,2,24
CI1380,patient,EP,21,2686.3436123348,874.651982378855,72852.5108607875,23720.1945250343,21.2932780424711,577.464760177358,27.1195801334844,2,24
CI1380,patient,EP,22,2687.34801762115,896.748898678414,72879.749910437,24319.4536173231,23.7584115983391,644.318147185462,27.1195801334844,2,24
CI1380,patient,EP,23,2678.30837004405,967.057268722467,72634.5984635916,26226.1870927875,22.2067600731056,602.238009307648,27.1195801334844,2,24
CI1380,patient,EP,24,2583.89427312775,889.718061674009,70074.1277965394,24128.7802697767,25.3155776921752,686.547837848394,27.1195801334844,2,24
CI1380,patient,EP,25,2468.38766519824,837.488986784141,66941.637086848,22712.3496880031,23.2161582582467,629.612464276177,27.1195801334844,2,24
CI1380,patient,EP,26,2470.39647577093,869.629955947137,66996.1151861469,23583.9992767868,24.4140850178183,662.099735026423,27.1195801334844,2,24
