CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1497,patient,EP,1,1689.69823788546,1096.42511013216,NaN,NaN,79.3581405315384,NaN,NaN,1,50
CI1497,patient,EP,2,3639.01321585903,1477.63876651982,NaN,NaN,88.5713660352965,NaN,NaN,1,50
CI1497,patient,EP,3,2661.40088105727,1204.35682819383,NaN,NaN,79.9655507502528,NaN,NaN,1,50
CI1497,patient,EP,4,3587.86343612335,2254.45814977974,NaN,NaN,73.1825870267342,NaN,NaN,1,50
CI1497,patient,EP,5,3517.37885462555,2289.70044052863,NaN,NaN,76.0716131211307,NaN,NaN,1,50
CI1497,patient,EP,6,3202.40088105727,2150.93392070485,NaN,NaN,87.0367010635746,NaN,NaN,1,50
CI1497,patient,EP,7,2955.70484581498,2560.62555066079,NaN,NaN,82.6473748979517,NaN,NaN,1,50
CI1497,patient,EP,8,3493.14977973568,2734.63436123348,NaN,NaN,80.7885455095734,NaN,NaN,1,50
CI1497,patient,EP,9,3882.58149779736,2993.22026431718,NaN,NaN,73.0820844565047,NaN,NaN,1,50
CI1497,patient,EP,10,3437.64757709251,2942.55947136564,NaN,NaN,75.7812008125844,NaN,NaN,1,50
CI1497,patient,EP,11,2203.72246696035,2924.1013215859,NaN,NaN,82.9728177621341,NaN,NaN,1,50
