CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1794,patient,EP,1,2568.764317,486.6585903,NaN,NaN,107.2279384,NaN,NaN,1,48
CI1794,patient,EP,2,4140.502203,1218.123348,NaN,NaN,99.41470451,NaN,NaN,1,48
CI1794,patient,EP,3,3219.797357,1282,NaN,NaN,100.8096375,NaN,NaN,1,48
CI1794,patient,EP,4,3149.493392,1709.23348,NaN,NaN,104.2505723,NaN,NaN,1,48
CI1794,patient,EP,5,2625.85022,2435.854626,NaN,NaN,95.21021395,NaN,NaN,1,48
CI1794,patient,EP,6,2689.726872,2510.744493,NaN,NaN,98.02491485,NaN,NaN,1,48
CI1794,patient,EP,7,3522.325991,2389.599119,NaN,NaN,110.8786699,NaN,NaN,1,48
CI1794,patient,EP,8,3581.797357,2810.303965,NaN,NaN,106.6207343,NaN,NaN,1,48
CI1794,patient,EP,9,2141.590308,2519.462555,NaN,NaN,87.70967527,NaN,NaN,1,48
CI1794,patient,EP,10,1736.303965,2759.550661,NaN,NaN,98.02491485,NaN,NaN,1,48
CI1794,patient,EP,11,2152.603524,2691.268722,NaN,NaN,86.7829903,NaN,NaN,1,48
CI1794,patient,EP,12,2317.801762,2697.876652,NaN,NaN,93.39157036,NaN,NaN,1,48
CI1794,patient,EP,1,1737,1026,NaN,NaN,64,NaN,NaN,2,48
CI1794,patient,EP,2,1763,1018,NaN,NaN,60,NaN,NaN,2,48
CI1794,patient,EP,3,1781,1484,NaN,NaN,65,NaN,NaN,2,48
CI1794,patient,EP,4,1834,2177,NaN,NaN,64,NaN,NaN,2,48
CI1794,patient,EP,5,1850,1961,NaN,NaN,59,NaN,NaN,2,48
CI1794,patient,EP,6,1863,1190,NaN,NaN,63,NaN,NaN,2,48
CI1794,patient,EP,7,1889,1640,NaN,NaN,58,NaN,NaN,2,48
CI1794,patient,EP,8,1901,1516,NaN,NaN,54,NaN,NaN,2,48
CI1794,patient,EP,9,1907,2016,NaN,NaN,54,NaN,NaN,2,48
CI1794,patient,EP,10,1998,2408,NaN,NaN,59,NaN,NaN,2,48
CI1794,patient,EP,11,1992,1965,NaN,NaN,49,NaN,NaN,2,48
CI1794,patient,EP,12,2011,1006,NaN,NaN,55,NaN,NaN,2,48
CI1794,patient,EP,13,2026,1878,NaN,NaN,44,NaN,NaN,2,48
CI1794,patient,EP,14,2037,2507,NaN,NaN,65,NaN,NaN,2,48
CI1794,patient,EP,15,2046,859,NaN,NaN,60,NaN,NaN,2,48
CI1794,patient,EP,16,2065,1140,NaN,NaN,55,NaN,NaN,2,48
CI1794,patient,EP,17,2089,2177,NaN,NaN,52,NaN,NaN,2,48
CI1794,patient,EP,18,2095,2206,NaN,NaN,53,NaN,NaN,2,48
CI1794,patient,EP,19,2131,1962,NaN,NaN,51,NaN,NaN,2,48
CI1794,patient,EP,20,2124,2052,NaN,NaN,44,NaN,NaN,2,48
CI1794,patient,EP,21,2132,1920,NaN,NaN,40,NaN,NaN,2,48
CI1794,patient,EP,22,2181,866,NaN,NaN,59,NaN,NaN,2,48
CI1794,patient,EP,23,2167,2150,NaN,NaN,44,NaN,NaN,2,48
CI1794,patient,EP,24,2171,1687,NaN,NaN,45,NaN,NaN,2,48
CI1794,patient,EP,25,2160,1289,NaN,NaN,51,NaN,NaN,2,48
CI1794,patient,EP,26,2186,2250,NaN,NaN,47,NaN,NaN,2,48
CI1794,patient,EP,27,2195,1866,NaN,NaN,41,NaN,NaN,2,48
CI1794,patient,EP,28,2207,1749,NaN,NaN,43,NaN,NaN,2,48
CI1794,patient,EP,29,2251,2508,NaN,NaN,62,NaN,NaN,2,48
CI1794,patient,EP,30,2236,1643,NaN,NaN,46,NaN,NaN,2,48
