CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1466,patient,EP,1,3432.650514,646.0866373,NaN,NaN,82.11026412,NaN,NaN,1,72
CI1466,patient,EP,2,3424.638767,756.2481645,NaN,NaN,48.97581159,NaN,NaN,1,72
CI1466,patient,EP,3,3757.126285,1182.873715,NaN,NaN,34.21918877,NaN,NaN,1,72
CI1466,patient,EP,4,3709.0558,1222.932452,NaN,NaN,71.16653066,NaN,NaN,1,72
CI1466,patient,EP,5,3646.964758,1162.844347,NaN,NaN,74.47705791,NaN,NaN,1,72
CI1466,patient,EP,6,3582.870778,1114.773862,NaN,NaN,80.61632013,NaN,NaN,1,72
CI1466,patient,EP,7,3371.058737,1507.829662,NaN,NaN,42.31866149,NaN,NaN,1,72
CI1466,patient,EP,8,2706.0837,1189.362702,NaN,NaN,30.19340185,NaN,NaN,1,72
CI1466,patient,EP,9,1426.619677,1564.870778,NaN,NaN,9.001933202,NaN,NaN,1,72
CI1466,patient,EP,10,1680.992658,1340.54185,NaN,NaN,39.08332133,NaN,NaN,1,72
CI1466,patient,EP,11,2027.500734,1006.051395,NaN,NaN,79.42643947,NaN,NaN,1,72
CI1466,patient,EP,12,1753.098385,1620.95301,NaN,NaN,56.93322453,NaN,NaN,1,72
CI1466,patient,EP,13,2105.79442,2191.885463,NaN,NaN,70.70959797,NaN,NaN,1,72
CI1466,patient,EP,14,2917.33627,1916.9163,NaN,NaN,60.68798664,NaN,NaN,1,72
CI1466,patient,EP,15,2825.201175,2241.39207,NaN,NaN,77.14924602,NaN,NaN,1,72
CI1466,patient,EP,16,3075.568282,2509.785609,NaN,NaN,79.42643947,NaN,NaN,1,72
CI1466,patient,EP,17,2929.353891,2523.806167,NaN,NaN,66.5473658,NaN,NaN,1,72
CI1466,patient,EP,18,3061.835536,2766.600587,NaN,NaN,66.69940476,NaN,NaN,1,72
CI1466,patient,EP,19,2480.983847,2710.518355,NaN,NaN,66.69940476,NaN,NaN,1,72
CI1466,patient,EP,20,2388.848752,2726.54185,NaN,NaN,61.58269809,NaN,NaN,1,72
CI1466,patient,EP,21,2236.625551,2688.48605,NaN,NaN,52.33522988,NaN,NaN,1,72
CI1466,patient,EP,22,1740.221733,2782.726872,NaN,NaN,52.68246337,NaN,NaN,1,72
CI1466,patient,EP,23,3910.430984,1468.21072,NaN,NaN,82.14109903,NaN,NaN,1,72
CI1466,patient,EP,1,3156.168135,741.1108664,NaN,NaN,10.06446728,NaN,NaN,2,72
CI1466,patient,EP,2,3276.344347,697.0462555,NaN,NaN,15.09670093,NaN,NaN,2,72
CI1466,patient,EP,3,2139.368576,762.7723935,NaN,NaN,48.97581159,NaN,NaN,2,72
CI1466,patient,EP,4,2507.908957,830.8722467,NaN,NaN,56.50461197,NaN,NaN,2,72
CI1466,patient,EP,5,3854.806167,1049.295154,NaN,NaN,42.3375119,NaN,NaN,2,72
CI1466,patient,EP,6,3975.309104,1695.071219,NaN,NaN,54.80284962,NaN,NaN,2,72
CI1466,patient,EP,7,3756.988987,1699.077093,NaN,NaN,39.57268675,NaN,NaN,2,72
CI1466,patient,EP,8,4009.359031,1919.400147,NaN,NaN,91.66956367,NaN,NaN,2,72
CI1466,patient,EP,9,3714.76652,1286.324523,NaN,NaN,27.64249306,NaN,NaN,2,72
CI1466,patient,EP,10,3996.951542,2047,NaN,NaN,22.70282274,NaN,NaN,2,72
CI1466,patient,EP,11,3476.359031,2487.401615,NaN,NaN,71.65589719,NaN,NaN,2,72
CI1466,patient,EP,12,2977.876652,3123.005874,NaN,NaN,50.48311107,NaN,NaN,2,72
CI1466,patient,EP,13,2765.565345,2858.618209,NaN,NaN,46.3402874,NaN,NaN,2,72
CI1466,patient,EP,14,2354.963289,2646.306902,NaN,NaN,26.16761494,NaN,NaN,2,72
CI1466,patient,EP,15,1592.048091,2070.651615,NaN,NaN,18.02280022,NaN,NaN,2,72
CI1466,patient,EP,1,3229.715125,874.1042584,NaN,NaN,92.78980357,NaN,NaN,3,72
CI1466,patient,EP,2,3131.676946,1581.330396,NaN,NaN,84.92406798,NaN,NaN,3,72
CI1466,patient,EP,3,3253.351689,2339.307636,NaN,NaN,69.03520302,NaN,NaN,3,72
CI1466,patient,EP,4,2323.521292,2476.603524,NaN,NaN,84.08499521,NaN,NaN,3,72
CI1466,patient,EP,5,2193.330396,2747,NaN,NaN,88.03964307,NaN,NaN,3,72
CI1466,patient,EP,1,2106.521292,1911.374449,NaN,NaN,88.93253968,NaN,NaN,4,72
CI1466,patient,EP,2,1585.757709,1891.345081,NaN,NaN,72.91010198,NaN,NaN,4,72
CI1466,patient,EP,3,1998.362702,2221.829662,NaN,NaN,54.94129914,NaN,NaN,4,72
CI1466,patient,EP,4,2434.547724,2450.500734,NaN,NaN,90.01933202,NaN,NaN,4,72
CI1466,patient,EP,5,2646.859031,2612.73862,NaN,NaN,72.57590571,NaN,NaN,4,72
