CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1140	67.69423278	664.7799668	17.44040881	7.224407753	TL	Other	D-	G+	R-	ABX+
CI1140	67.10047972	864.2139569	13.11060779	2.89460674	TL	Other	D-	G+	R-	ABX+
CI1150	58.04988628	0	28.59523015	19.72347285	TL	Other	D-	G+	R-	ABX+
CI1150	62.6740753	273.3540774	22.86609639	13.99433909	TL	Other	D-	G+	R-	ABX+
CI1150	54.85458292	507.6575722	18.32188287	9.450125571	TL	Other	D-	G+	R-	ABX+
CI1150	67.0957451	800.5369408	14.94189765	6.070140345	TL	Other	D-	G+	R-	ABX+
CI1150	64.94116554	761.4863583	14.97984638	6.108089074	TL	Other	D-	G+	R-	ABX+
CI1150	58.83183552	663.8599021	15.82444188	6.952684583	TL	Other	D-	G+	R-	ABX+
CI1150	62.19590491	722.4357759	15.42556198	6.553804676	TL	Other	D-	G+	R-	ABX+
CI1150	60.24384458	878.6381058	12.22376941	3.352012104	TL	Other	D-	G+	R-	ABX+
CI1150	57.44795413	663.8599021	15.76114831	6.88939101	TL	Other	D-	G+	R-	ABX+
CI1150	63.33788833	741.9610671	15.09565798	6.223900681	TL	Other	D-	G+	R-	ABX+
CI1150	63.36039046	683.3851934	16.38121991	7.509462613	TL	Other	D-	G+	R-	ABX+
CI1150	60.95828741	820.0622321	13.497448	4.625690702	TL	Other	D-	G+	R-	ABX+
CI1150	61.77961538	859.1128145	13.19990408	4.328146774	TL	Other	D-	G+	R-	ABX+
CI1150	62.1790283	527.1828635	18.72285171	9.851094403	TL	Other	D-	G+	R-	ABX+
CI1150	60.00194661	663.8599021	16.24987623	7.378118931	TL	Other	D-	G+	R-	ABX+
CI1150	64.02420349	878.6381058	12.88992003	4.018162731	TL	Other	D-	G+	R-	ABX+
CI1150	60.96391294	331.9299511	21.8760278	13.00427049	TL	Other	D-	G+	R-	ABX+
CI1150	56.63225169	566.2334459	17.54029799	8.668540691	TL	Other	D-	G+	R-	ABX+
CI1150	58.46055027	644.3346109	16.15029316	7.278535863	TL	Other	D-	G+	R-	ABX+
CI1150	56.34534945	585.7587372	17.07954072	8.207783423	TL	Other	D-	G+	R-	ABX+
CI1150	64.30548019	507.6575722	19.06014463	10.18838733	TL	Other	D-	G+	R-	ABX+
CI1150	61.86962393	859.1128145	13.35800569	4.486248387	TL	Other	D-	G+	R-	ABX+
CI1150	62.48280714	741.9610671	14.89902883	6.02727153	TL	Other	D-	G+	R-	ABX+
CI1150	60.59262769	702.9104846	15.52878221	6.657024913	TL	Other	D-	G+	R-	ABX+
CI1150	58.68557163	761.4863583	13.86623018	4.994472878	TL	Other	D-	G+	R-	ABX+
CI1150	62.76970938	351.4552423	21.60009379	12.72833649	TL	Other	D-	G+	R-	ABX+
CI1150	63.95107154	683.3851934	16.2610116	7.389254301	TL	Other	D-	G+	R-	ABX+
CI1150	67.06761743	956.7392707	12.46549907	3.593741767	TL	Other	D-	G+	R-	ABX+
CI1150	61.79649199	839.5875233	13.47524017	4.603482865	TL	Other	D-	G+	R-	ABX+
CI1150	62.58969229	781.0116496	14.63759182	5.765834516	TL	Other	D-	G+	R-	ABX+
CI1150	64.78365059	878.6381058	13.24211357	4.37035627	TL	Other	D-	G+	R-	ABX+
CI1150	60.49699361	585.7587372	17.78533692	8.913579618	TL	Other	D-	G+	R-	ABX+
CI1150	65.72874032	1034.840436	11.3063032	2.434545896	TL	Other	D-	G+	R-	ABX+
CI1150	60.395734	781.0116496	14.25226775	5.380510448	TL	Other	D-	G+	R-	ABX+
CI1150	63.97919921	761.4863583	15.15117793	6.279420625	TL	Other	D-	G+	R-	ABX+
CI1150	63.65854377	976.264562	11.3566643	2.484906999	TL	Other	D-	G+	R-	ABX+
CI1150	65.41933594	898.163397	12.7202551	3.848497799	TL	Other	D-	G+	R-	ABX+
CI1150	62.04401549	859.1128145	12.99295916	4.121201857	TL	Other	D-	G+	R-	ABX+
