CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1374,patient,EP,1,3347.26505139501,794.14610866373,89521.6508571229,21239.2115884902,25.8756651390232,692.037297526248,26.7447153071472,1,24
CI1374,patient,EP,2,3093.89353891336,920.331130690162,82745.30188886,24613.9940786132,25.2415555351808,675.078216697956,26.7447153071472,1,24
CI1374,patient,EP,3,2118.13876651982,780.034508076358,56649.0182916046,20861.8008482528,27.3783109915092,732.225133058452,26.7447153071472,1,24
CI1374,patient,EP,4,2338.46182085169,817.088839941263,62541.4956553114,21852.8084048762,30.1934018537836,807.513936733733,26.7447153071472,1,24
CI1374,patient,EP,5,3420.92143906021,1262.0859030837,91491.5699757815,33754.1281711373,32.5970678600211,871.799299764022,26.7447153071472,1,24
CI1374,patient,EP,6,3874.58663729809,1318.16813509545,103624.716547414,35254.0315000809,27.3412882416563,731.234970153749,26.7447153071472,1,24
CI1374,patient,EP,7,3668.28414096916,1371.24596182085,98107.2150159432,36673.5828649739,16.1345684611415,431.514440096904,26.7447153071472,1,24
CI1374,patient,EP,8,3641.24449339207,1363.2342143906,97384.0473394883,36459.3109608391,31.2160773732398,834.865102353178,26.7447153071472,1,24
CI1374,patient,EP,9,3462.98311306902,1376.25330396476,92616.4974724891,36807.5028050581,32.2062953107025,861.348199182649,26.7447153071472,1,24
CI1374,patient,EP,10,3538.09324522761,1494.42657856094,94625.2965737528,39968.0133910464,22.141828026108,592.176886938071,26.7447153071472,1,24
CI1374,patient,EP,11,3334.79515418502,1572.54111600587,89188.1470063324,42057.1644563606,21.1593307458957,565.900276888747,26.7447153071472,1,24
CI1374,patient,EP,12,2785.20631424376,1175.24596182085,74489.5499461181,31431.6186647731,34.2191887676214,915.182461631564,26.7447153071472,1,24
CI1374,patient,EP,13,3998.37665198238,1603.96255506608,106935.445248013,42897.5218985667,18.8019765187631,502.853509205987,26.7447153071472,1,24
CI1374,patient,EP,14,4089.51027900147,1711.11967694567,109372.788157546,45763.4086163696,18.5579607138573,496.327375973335,26.7447153071472,1,24
CI1374,patient,EP,15,3980.35022026432,1688.0859030837,106453.33346371,45147.376891982,26.4754798241863,708.079170517981,26.7447153071472,1,24
CI1374,patient,EP,16,4045.4456681351,1783.22540381791,108194.292684805,47691.8557535827,23.4957354511106,628.386755571998,26.7447153071472,1,24
CI1374,patient,EP,17,4045.4456681351,1901.3986784141,108194.292684805,50852.3663395709,29.3427122918575,784.762486585256,26.7447153071472,1,24
CI1374,patient,EP,18,1879.9684287812,1657.15932452276,50279.2204141781,44320.2543529456,35.2830998662483,943.636461076454,26.7447153071472,1,24
CI1374,patient,EP,19,1895.9919236417,1717.24743024963,50707.7642224477,45927.2936339565,23.3443577608803,624.338202342935,26.7447153071472,1,24
CI1374,patient,EP,20,2203.44273127753,1793.359030837,58930.4485436204,47962.8767232371,18.8019765187636,502.853509205999,26.7447153071472,1,24
CI1374,patient,EP,21,2417.37812041116,1677.18869309838,64652.089620123,44855.9341132826,26.3412316872298,704.488742314565,26.7447153071472,1,24
CI1374,patient,EP,22,2984.6483113069,1600.1328928047,79823.5693778607,42795.0986716635,29.3427122918575,784.762486585256,26.7447153071472,1,24
CI1374,patient,EP,23,2772.33700440529,1686.25917767988,74145.3639182886,45098.5216411126,31.778864236707,849.916676795209,26.7447153071472,1,24
CI1374,patient,EP,24,2726.26945668135,1690.26505139501,72913.3004695136,45205.65759318,41.3133816580905,1104.91463082115,26.7447153071472,1,24
CI1374,patient,EP,25,2720.26064610866,1762.37077826725,72752.5965414125,47134.1047303931,13.2377399120931,354.039585258991,26.7447153071472,1,24
CI1374,patient,EP,26,2785.35609397944,1838.48237885463,74493.5557625077,49169.6878196737,33.5918086620917,898.403359319803,26.7447153071472,1,24
CI1374,patient,EP,27,3362.25183553598,1724.20044052863,89922.4681323428,46113.2499143961,40.5711646738598,1085.06424888177,26.7447153071472,1,24
CI1374,patient,EP,28,4034.93538913363,2183.50367107195,107913.198265112,58397.1840549301,28.2523059868509,755.599880388736,26.7447153071472,1,24
CI1374,patient,EP,29,3452.44787077827,2586.27165932452,92334.7354167312,69169.0992355775,36.2879528548356,970.510968181757,26.7447153071472,1,24
CI1374,patient,EP,30,3338.28046989721,2826.62408223201,89281.3607828104,75597.2563596214,24.1547214830264,646.011149386974,26.7447153071472,1,24
CI1374,patient,EP,31,2935.69016152717,2780.55653450808,78514.197600037,74365.1929108463,19.0959840333415,510.716656481546,26.7447153071472,1,24
CI1374,patient,EP,32,1632.86857562408,2006.21365638767,43670.605189053,53655.6130853989,22.7064731688656,607.278160530686,26.7447153071472,1,24
CI1374,patient,EP,33,1628.86270190896,2058.29001468429,43563.4692369856,55048.3804622751,26.4754798241865,708.079170517987,26.7447153071472,1,24
CI1374,patient,EP,34,1656.90381791483,2170.45447870778,44313.4209014574,58048.1871201622,28.2523059868513,755.599880388748,26.7447153071472,1,24
CI1374,patient,EP,35,1661.91116005874,2196.49265785609,44447.3408415416,58744.5708086003,29.2562829073789,782.450957303205,26.7447153071472,1,24
CI1374,patient,EP,36,1921.29295154185,2238.17547723935,51384.4330106153,59859.3659462048,32.2691369222836,863.028880193827,26.7447153071472,1,24
CI1374,patient,EP,37,1752.04478707783,2412.43098384728,46857.9390357678,64519.7798611366,14.2333061319334,380.665720378031,26.7447153071472,1,24
CI1374,patient,EP,38,2114.57635829662,2416.43685756241,56553.7426978672,64626.915813204,30.1934018537832,807.513936733721,26.7447153071472,1,24
CI1374,patient,EP,39,2191.42511013216,2755.48384728341,58609.0406874183,73694.6310290374,32.3475172585968,865.125139974201,26.7447153071472,1,24
