CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1374,patient,EP,1,1644,2050,NaN,NaN,56,NaN,NaN,1,48
CI1374,patient,EP,2,1653,1998,NaN,NaN,52,NaN,NaN,1,48
CI1374,patient,EP,3,1673,2184,NaN,NaN,62,NaN,NaN,1,48
CI1374,patient,EP,4,1765,2389,NaN,NaN,43,NaN,NaN,1,48
CI1374,patient,EP,5,1885,1654,NaN,NaN,61,NaN,NaN,1,48
CI1374,patient,EP,6,1909,1726,NaN,NaN,55,NaN,NaN,1,48
CI1374,patient,EP,7,1926,2223,NaN,NaN,63,NaN,NaN,1,48
CI1374,patient,EP,8,2113,2391,NaN,NaN,62,NaN,NaN,1,48
CI1374,patient,EP,9,2122,829,NaN,NaN,60,NaN,NaN,1,48
CI1374,patient,EP,10,2183,2717,NaN,NaN,65,NaN,NaN,1,48
CI1374,patient,EP,11,2197,1797,NaN,NaN,54,NaN,NaN,1,48
CI1374,patient,EP,12,2335,865,NaN,NaN,64,NaN,NaN,1,48
CI1374,patient,EP,13,2405,1687,NaN,NaN,59,NaN,NaN,1,48
CI1374,patient,EP,14,2579,2234,NaN,NaN,43,NaN,NaN,1,48
CI1374,patient,EP,15,2656,2423,NaN,NaN,55,NaN,NaN,1,48
CI1374,patient,EP,16,2742,1693,NaN,NaN,62,NaN,NaN,1,48
CI1374,patient,EP,17,2692,1769,NaN,NaN,39,NaN,NaN,1,48
CI1374,patient,EP,18,2756,1209,NaN,NaN,65,NaN,NaN,1,48
CI1374,patient,EP,19,2759,1846,NaN,NaN,65,NaN,NaN,1,48
CI1374,patient,EP,20,2897,2745,NaN,NaN,45,NaN,NaN,1,48
CI1374,patient,EP,21,2947,1614,NaN,NaN,61,NaN,NaN,1,48
CI1374,patient,EP,22,3053,965,NaN,NaN,53,NaN,NaN,1,48
CI1374,patient,EP,23,3282,2791,NaN,NaN,60,NaN,NaN,1,48
CI1374,patient,EP,24,3283,1589,NaN,NaN,55,NaN,NaN,1,48
CI1374,patient,EP,25,3309,1740,NaN,NaN,65,NaN,NaN,1,48
CI1374,patient,EP,26,3298,848,NaN,NaN,50,NaN,NaN,1,48
CI1374,patient,EP,27,3364,1291,NaN,NaN,59,NaN,NaN,1,48
CI1374,patient,EP,28,3403,1404,NaN,NaN,56,NaN,NaN,1,48
CI1374,patient,EP,29,3479,1522,NaN,NaN,53,NaN,NaN,1,48
CI1374,patient,EP,30,3577,1389,NaN,NaN,61,NaN,NaN,1,48
CI1374,patient,EP,31,3799,1348,NaN,NaN,61,NaN,NaN,1,48
CI1374,patient,EP,32,3892,1707,NaN,NaN,51,NaN,NaN,1,48
CI1374,patient,EP,33,3920,1619,NaN,NaN,37,NaN,NaN,1,48
CI1374,patient,EP,34,3948,2184,NaN,NaN,57,NaN,NaN,1,48
CI1374,patient,EP,35,3971,1910,NaN,NaN,58,NaN,NaN,1,48
CI1374,patient,EP,36,3936,1884,NaN,NaN,30,NaN,NaN,1,48
CI1374,patient,EP,37,3957,1803,NaN,NaN,39,NaN,NaN,1,48
CI1374,patient,EP,38,4010,1723,NaN,NaN,52,NaN,NaN,1,48
CI1374,patient,EP,39,3180.61637298091,1218.60315712188,NaN,NaN,16.7279197304649,NaN,NaN,1,48
CI1374,patient,EP,40,2682.15051395007,1696.15051395007,NaN,NaN,66.2269478731409,NaN,NaN,1,48
CI1374,patient,EP,41,3202.6949339207,2160.08259911894,NaN,NaN,10.4229832931233,NaN,NaN,1,48
CI1374,patient,EP,42,3391.45888399413,2558.23861967695,NaN,NaN,75.9917267418602,NaN,NaN,1,48
CI1374,patient,EP,43,3950.09654919236,1609.08039647577,NaN,NaN,22.0730999926622,NaN,NaN,1,48
CI1374,patient,EP,1,1441,1547,NaN,NaN,45,NaN,NaN,2,48
CI1374,patient,EP,2,1449,1594,NaN,NaN,40,NaN,NaN,2,48
CI1374,patient,EP,3,1410,1554,NaN,NaN,29,NaN,NaN,2,48
CI1374,patient,EP,4,1517,1730,NaN,NaN,55,NaN,NaN,2,48
CI1374,patient,EP,5,1481,1730,NaN,NaN,33,NaN,NaN,2,48
CI1374,patient,EP,6,1597,1939,NaN,NaN,20,NaN,NaN,2,48
CI1374,patient,EP,7,1656,1549,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,8,1663,1789,NaN,NaN,40,NaN,NaN,2,48
CI1374,patient,EP,9,1750,1256,NaN,NaN,53,NaN,NaN,2,48
CI1374,patient,EP,10,1703,1560,NaN,NaN,20,NaN,NaN,2,48
CI1374,patient,EP,11,1734,1782,NaN,NaN,46,NaN,NaN,2,48
CI1374,patient,EP,12,1783,2261,NaN,NaN,50,NaN,NaN,2,48
CI1374,patient,EP,13,1824,1250,NaN,NaN,42,NaN,NaN,2,48
CI1374,patient,EP,14,1859,1835,NaN,NaN,42,NaN,NaN,2,48
CI1374,patient,EP,15,1895,1058,NaN,NaN,48,NaN,NaN,2,48
CI1374,patient,EP,16,1920,1022,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,17,1903,1721,NaN,NaN,39,NaN,NaN,2,48
CI1374,patient,EP,18,1907,2301,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,19,1925,2120,NaN,NaN,25,NaN,NaN,2,48
CI1374,patient,EP,20,1935,1904,NaN,NaN,34,NaN,NaN,2,48
CI1374,patient,EP,21,1941,2251,NaN,NaN,39,NaN,NaN,2,48
CI1374,patient,EP,22,1946,1187,NaN,NaN,36,NaN,NaN,2,48
CI1374,patient,EP,23,1960,1952,NaN,NaN,43,NaN,NaN,2,48
CI1374,patient,EP,24,1968,2477,NaN,NaN,38,NaN,NaN,2,48
CI1374,patient,EP,25,1992,2483,NaN,NaN,24,NaN,NaN,2,48
CI1374,patient,EP,26,1979,972,NaN,NaN,43,NaN,NaN,2,48
CI1374,patient,EP,27,1969,1265,NaN,NaN,35,NaN,NaN,2,48
CI1374,patient,EP,28,1967,2084,NaN,NaN,31,NaN,NaN,2,48
CI1374,patient,EP,29,1979,2395,NaN,NaN,37,NaN,NaN,2,48
CI1374,patient,EP,30,1975,1073,NaN,NaN,26,NaN,NaN,2,48
CI1374,patient,EP,31,1984,1431,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,32,2003,2632,NaN,NaN,36,NaN,NaN,2,48
CI1374,patient,EP,33,2007,1823,NaN,NaN,39,NaN,NaN,2,48
CI1374,patient,EP,34,2011,1134,NaN,NaN,35,NaN,NaN,2,48
CI1374,patient,EP,35,2024,2360,NaN,NaN,36,NaN,NaN,2,48
CI1374,patient,EP,36,2020,1059,NaN,NaN,38,NaN,NaN,2,48
CI1374,patient,EP,37,2027,1632,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,38,2059,1615,NaN,NaN,23,NaN,NaN,2,48
CI1374,patient,EP,39,2046,2782,NaN,NaN,36,NaN,NaN,2,48
CI1374,patient,EP,40,2045,2656,NaN,NaN,33,NaN,NaN,2,48
CI1374,patient,EP,41,2053,1155,NaN,NaN,36,NaN,NaN,2,48
CI1374,patient,EP,42,2036,959,NaN,NaN,29,NaN,NaN,2,48
CI1374,patient,EP,43,2062,1853,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,44,2060,2472,NaN,NaN,26,NaN,NaN,2,48
CI1374,patient,EP,45,2086,2883,NaN,NaN,45,NaN,NaN,2,48
CI1374,patient,EP,46,2076,2027,NaN,NaN,32,NaN,NaN,2,48
CI1374,patient,EP,47,2083,2535,NaN,NaN,24,NaN,NaN,2,48
CI1374,patient,EP,48,2158,1655,NaN,NaN,32,NaN,NaN,2,48
