CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1374	NA	692.0372975	NA	5.661142059	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	675.0782167	NA	5.985640148	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	732.2251331	NA	4.892180819	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	807.5139367	NA	3.451591369	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	871.7992998	NA	2.221543723	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	731.2349702	NA	4.911126773	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	431.5144401	NA	10.64603306	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	834.8651024	NA	2.928249269	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	861.3481992	NA	2.421516953	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	592.1768869	NA	7.571889034	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	565.9002769	NA	8.074670396	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	915.1824616	NA	1.391442537	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	502.8535092	NA	9.281018537	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	496.327376	NA	9.405890738	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	708.0791705	NA	5.354193989	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	628.3867556	NA	6.879042925	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	784.7624866	NA	3.88692169	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	943.6364611	NA	0.846998617	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	624.3382023	NA	6.956508667	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	502.8535092	NA	9.281018537	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	704.4887423	NA	5.422893885	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	784.7624866	NA	3.88692169	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	849.9166768	NA	2.640249749	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	1104.914631	NA	-2.238926758	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	354.0395853	NA	12.1284508	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	898.4033593	NA	1.712496885	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	1085.064249	NA	-1.859105996	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	755.5998804	NA	4.444924218	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	970.5109682	NA	0.332776987	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	646.0111494	NA	6.541814618	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	510.7166565	NA	9.130563669	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	607.2781605	NA	7.282938562	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	708.0791705	NA	5.354193989	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	755.5998804	NA	4.444924218	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	782.4509573	NA	3.931150905	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	863.0288802	NA	2.389358502	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	380.6657204	NA	11.61898156	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	807.5139367	NA	3.451591369	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	865.12514	NA	2.349248292	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	377.7999402	NA	11.67381592	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	662.8941316	NA	6.218772614	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	0	NA	15.07587181	EP	Prothesis	D-	G-	R-	ABX-
CI1374	NA	0	NA	15.07587181	EP	Prothesis	D-	G-	R-	ABX-
CI1378	NA	441.0420211	NA	11.10894654	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	758.0409737	NA	5.595414639	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	689.1281579	NA	6.794008529	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	970.2924464	NA	1.903745454	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	758.0409737	NA	5.595414639	EP	Cardiovascular	D-	G-	R-	ABX+
CI1378	NA	826.9537895	NA	4.396820748	EP	Cardiovascular	D-	G-	R-	ABX+
CI1380	NA	395.7689842	NA	12.00331577	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	824.3861559	NA	4.787562518	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	812.5533367	NA	4.986767565	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	768.2540845	NA	5.732543736	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	583.4878995	NA	8.843075202	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	828.779909	NA	4.713593858	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	386.0012862	NA	12.16775458	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	494.3228383	NA	10.34416551	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	615.7900187	NA	8.299270296	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	736.949143	NA	6.259561197	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	850.0796526	NA	4.35501351	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	875.1254446	NA	3.933368586	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	926.6041074	NA	3.06672732	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	915.4824331	NA	3.25396027	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	920.7566942	NA	3.165168292	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	882.0150506	NA	3.81738234	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	867.4300055	NA	4.062921002	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	457.5377308	NA	10.96344135	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	818.8323811	NA	4.8810601	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	1003.788905	NA	1.767324292	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	795.7620373	NA	5.26944843	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	846.1267938	NA	4.421559734	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	861.8294552	NA	4.157206045	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	768.6176404	NA	5.726423287	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	0	NA	15.29907893	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	209.3743201	NA	15.14126262	EP	Cardiovascular	D-	G+	R-	ABX+
CI1380	NA	186.1065522	NA	15.29907893	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	724.0634453	NA	-2.689222873	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	760.0883401	NA	-3.637368844	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	618.5620507	NA	0.087488141	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	558.6349885	NA	1.664719743	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	439.4009039	NA	4.802864005	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	711.7804316	NA	-2.365943928	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	722.2664406	NA	-2.641927167	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	547.7280148	NA	1.951782431	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	767.3806882	NA	-3.829297522	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	630.4528465	NA	-0.225467947	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	775.0835733	NA	-4.0320312	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	649.5969755	NA	-0.729325871	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	789.7238033	NA	-4.417350164	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	891.3089465	NA	-7.09098862	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	753.9311224	NA	-3.475315874	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	714.6538164	NA	-2.441569081	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	560.0318662	NA	1.627955057	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	111.978218	NA	11.10370134	EP	Cardiovascular	D-	G+	R-	ABX+
CI1464	NA	720.279253	NA	-2.589626004	EP	Cardiovascular	D-	G+	R-	ABX+
CI1466	NA	1162.541669	NA	21.86170502	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	394.0744457	NA	35.76029119	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1028.475474	NA	24.28644157	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1157.173391	NA	21.9587963	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	167.3886715	NA	39.27034383	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	990.0997911	NA	24.98050856	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1228.709847	NA	20.66497977	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1183.771358	NA	21.47774242	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	574.1384067	NA	32.50363378	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	327.309251	NA	36.96781414	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	899.6870759	NA	26.61572328	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	839.4558865	NA	27.70507146	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1110.990372	NA	22.79406767	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1141.879678	NA	22.23540014	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	759.7547983	NA	29.14655447	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	1263.684299	NA	20.03242782	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	839.0194655	NA	27.71296462	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	948.8253608	NA	25.72700263	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	0	NA	39.27034383	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	0	NA	39.27034383	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	281.1947618	NA	37.80184608	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1466	NA	130.8083048	NA	39.27034383	EP	Cardiovascular&ForeignBody	D+	G+	R+	ABX+
CI1497	NA	1026.76489	NA	0.604513197	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	950.3580277	NA	1.943512381	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	1211.970887	NA	-2.641146593	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	1168.768646	NA	-1.884044897	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	935.0149172	NA	2.212394154	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	915.0355169	NA	2.562525019	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	1002.210846	NA	1.034812824	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	806.2660123	NA	4.468666356	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	970.4382317	NA	1.591614972	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	950.7806909	NA	1.936105381	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1497	NA	946.1210114	NA	2.017764369	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	955.0333854	NA	7.55155321	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	825.9748198	NA	9.170055398	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	877.5982461	NA	8.522654523	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	877.5982461	NA	8.522654523	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	851.7865329	NA	8.846354961	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	722.7279673	NA	10.46485715	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	825.9748198	NA	9.170055398	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	825.9748198	NA	9.170055398	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	748.5396805	NA	10.14115671	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	542.0459755	NA	12.73076021	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	877.5982461	NA	8.522654523	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	800.1631067	NA	9.493755836	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	851.7865329	NA	8.846354961	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	722.7279673	NA	10.46485715	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	825.9748198	NA	9.170055398	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	1006.656812	NA	6.904152334	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	877.5982461	NA	8.522654523	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	619.4811149	NA	11.7596589	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	877.5982461	NA	8.522654523	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	774.3513936	NA	9.817456274	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	903.4099592	NA	8.198954085	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
CI1706	NA	929.2216723	NA	7.875253647	EP	Cardiovascular&ForeignBody	D-	G-	R-	ABX+
