CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1439,exponential,TL,1,3369,2011,105379.068563063,62902.1391749241,0,0,31.2790348955366,1,0
CI1439,exponential,TL,2,3348,2117,104722.208830257,66217.716873851,0,0,31.2790348955366,1,0
CI1439,exponential,TL,3,3248,1947,101594.305340703,60900.2809416098,0,0,31.2790348955366,1,0
CI1439,exponential,TL,4,3431,1869,107318.368726586,58460.5162197579,0,0,31.2790348955366,1,0
CI1439,exponential,TL,5,3536,1973,110602.667390617,61713.5358488937,0,0,31.2790348955366,1,0
CI1439,exponential,TL,6,2493,1746,77978.6339945728,54613.1949276069,0,0,31.2790348955366,1,0
CI1439,exponential,TL,7,3191,2076,99811.4003516573,64935.276443134,0,0,31.2790348955366,1,0
CI1439,exponential,TL,8,3247,2157,101563.026305807,67468.8782696725,0,0,31.2790348955366,1,0
CI1439,exponential,TL,9,3207,1992,100311.864909986,62307.8375119089,0,0,31.2790348955366,1,0
CI1439,exponential,TL,10,2374,1408,74256.4288420039,44040.8811329155,0,0,31.2790348955366,1,0
CI1439,exponential,TL,11,2665,1931,83358.6279966051,60399.8163832812,0,0,31.2790348955366,1,0
CI1439,exponential,TL,12,3125,1276,97746.9840485519,39912.0485267047,0,0,31.2790348955366,1,0
CI1439,exponential,TL,13,1772,1998,55426.4498348909,62495.5117212821,0,0,31.2790348955366,1,0
CI1439,exponential,TL,14,1859,2518,58147.7258708026,78760.6098669612,0,0,31.2790348955366,1,0
CI1439,exponential,TL,15,2012,1755,62933.4182098197,54894.7062416667,0,0,31.2790348955366,1,0
CI1439,exponential,TL,16,1907,1936,59649.1195457883,60556.2115577589,0,0,31.2790348955366,1,0
CI1439,exponential,TL,17,2364,1860,73943.6384930485,58179.0049056981,0,0,31.2790348955366,1,0
CI1439,exponential,TL,18,2390,874,74756.8934003325,27337.876498699,0,0,31.2790348955366,1,0
CI1439,exponential,TL,19,2517,826,78729.3308320656,25836.4828237132,0,0,31.2790348955366,1,0
CI1439,exponential,TL,20,3636,1908,113730.570880171,59680.3985806838,0,0,31.2790348955366,1,0
CI1439,exponential,TL,21,1556,1711,48670.178297455,53518.4287062631,0,0,31.2790348955366,1,0
CI1439,exponential,TL,22,1829,1669,57209.3548239365,52204.7092406506,0,0,31.2790348955366,1,0
CI1439,exponential,TL,23,2247,2288,70283.9914102708,71566.4318409878,0,0,31.2790348955366,1,0
CI1439,exponential,TL,24,2377,2131,74350.2659466905,66655.6233623885,0,0,31.2790348955366,1,0
CI1439,exponential,TL,25,1548,2281,48419.9460182907,71347.478596719,0,0,31.2790348955366,1,0
CI1439,exponential,TL,26,2341,2313,73224.2206904512,72348.4077133762,0,0,31.2790348955366,1,0
CI1439,exponential,TL,27,2541,2021,79480.0276695585,63214.9295238795,0,0,31.2790348955366,1,0
CI1439,exponential,TL,28,2944,969,92085.4787324598,30309.384813775,0,0,31.2790348955366,1,0
CI1439,exponential,TL,29,1666,2176,52110.872135964,68063.1799326877,0,0,31.2790348955366,1,0
CI1439,exponential,TL,30,2398,1647,75007.1256794968,51516.5704729488,0,0,31.2790348955366,1,0
CI1439,exponential,TL,31,2867,955,89676.9930455034,29871.4783252375,0,0,31.2790348955366,1,0
CI1439,exponential,TL,32,3100,1732,96965.0081761635,54175.2884390694,0,0,31.2790348955366,1,0
