CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1464,exponential,TL,1,308,1105,15549.9895159986,55788.1117375923,0,0,50.4869789480473,1,0
CI1464,exponential,TL,2,395,977,19942.3566844787,49325.7784322422,0,0,50.4869789480473,1,0
CI1464,exponential,TL,3,415,1183,20952.0962634396,59726.09609554,0,0,50.4869789480473,1,0
CI1464,exponential,TL,4,415,1405,20952.0962634396,70934.2054220065,0,0,50.4869789480473,1,0
CI1464,exponential,TL,5,452,1195,22820.1144845174,60331.9398429166,0,0,50.4869789480473,1,0
CI1464,exponential,TL,6,454,1025,22921.0884424135,51749.1534217485,0,0,50.4869789480473,1,0
CI1464,exponential,TL,7,467,1048,23577.4191687381,52910.3539375536,0,0,50.4869789480473,1,0
CI1464,exponential,TL,8,482,1201,24334.7238529588,60634.8617166048,0,0,50.4869789480473,1,0
CI1464,exponential,TL,9,487,786,24587.1587476991,39682.7654531652,0,0,50.4869789480473,1,0
CI1464,exponential,TL,10,482,1043,24334.7238529588,52657.9190428134,0,0,50.4869789480473,1,0
CI1464,exponential,TL,11,490,1259,24738.6196845432,63563.1064955916,0,0,50.4869789480473,1,0
CI1464,exponential,TL,12,497,923,25092.0285371795,46599.4815690477,0,0,50.4869789480473,1,0
CI1464,exponential,TL,13,500,995,25243.4894740237,50234.5440533071,0,0,50.4869789480473,1,0
CI1464,exponential,TL,14,500,1341,25243.4894740237,67703.0387693315,0,0,50.4869789480473,1,0
CI1464,exponential,TL,15,505,1174,25495.9243687639,59271.7132850076,0,0,50.4869789480473,1,0
CI1464,exponential,TL,16,508,1316,25647.385305608,66440.8642956303,0,0,50.4869789480473,1,0
CI1464,exponential,TL,17,510,1164,25748.3592635041,58766.8434955271,0,0,50.4869789480473,1,0
CI1464,exponential,TL,18,509,1330,25697.8722845561,67147.682000903,0,0,50.4869789480473,1,0
CI1464,exponential,TL,19,511,1245,25798.8462424522,62856.2887903189,0,0,50.4869789480473,1,0
CI1464,exponential,TL,20,510,1259,25748.3592635041,63563.1064955916,0,0,50.4869789480473,1,0
CI1464,exponential,TL,21,526,958,26556.1509266729,48366.5258322294,0,0,50.4869789480473,1,0
CI1464,exponential,TL,22,544,1384,27464.9165477378,69873.9788640975,0,0,50.4869789480473,1,0
CI1464,exponential,TL,23,546,1004,27565.8905056338,50688.9268638395,0,0,50.4869789480473,1,0
CI1464,exponential,TL,24,556,886,28070.7602951143,44731.4633479699,0,0,50.4869789480473,1,0
CI1464,exponential,TL,25,576,1034,29080.4998740753,52203.5362322809,0,0,50.4869789480473,1,0
