CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1502,exponential,TL,1,2354,1023,65443.223468046,28440.2793576088,0,0,27.8008595871053,1,0
CI1502,exponential,TL,2,2205,1012,61300.8953895673,28134.4699021506,0,0,27.8008595871053,1,0
CI1502,exponential,TL,3,2386,1657,66332.8509748333,46066.0243358335,0,0,27.8008595871053,1,0
CI1502,exponential,TL,4,2548,926,70836.5902279444,25743.5959776595,0,0,27.8008595871053,1,0
CI1502,exponential,TL,5,2691,1055,74812.1131489004,29329.9068643961,0,0,27.8008595871053,1,0
CI1502,exponential,TL,6,1679,1319,46677.6432467499,36669.3337953919,0,0,27.8008595871053,1,0
CI1502,exponential,TL,7,1723,1522,47900.8810685825,42312.9082915743,0,0,27.8008595871053,1,0
CI1502,exponential,TL,8,1873,896,52071.0100066483,24909.5701900464,0,0,27.8008595871053,1,0
CI1502,exponential,TL,9,1990,945,55323.7105783396,26271.8123098145,0,0,27.8008595871053,1,0
CI1502,exponential,TL,10,2895,1818,80483.4885046699,50541.9627293575,0,0,27.8008595871053,1,0
CI1502,exponential,TL,11,1338,1977,37197.5501275469,54962.2994037072,0,0,27.8008595871053,1,0
CI1502,exponential,TL,12,1357,2068,37725.7664597019,57492.1776261338,0,0,27.8008595871053,1,0
CI1502,exponential,TL,13,2486,2006,69112.9369335439,55768.5243317333,0,0,27.8008595871053,1,0
CI1502,exponential,TL,14,2644,1722,73505.4727483065,47873.0802089954,0,0,27.8008595871053,1,0
CI1502,exponential,TL,15,2752,2078,76507.9655837139,57770.1862220049,0,0,27.8008595871053,1,0
CI1502,exponential,TL,16,2968,1371,82512.9512545286,38114.9784939214,0,0,27.8008595871053,1,0
CI1502,exponential,TL,17,3027,1863,84153.2019701678,51793.0014107772,0,0,27.8008595871053,1,0
CI1502,exponential,TL,18,3361,1564,93438.689072261,43480.5443942327,0,0,27.8008595871053,1,0
CI1502,exponential,TL,19,1458,1688,40533.6532779996,46927.8509830338,0,0,27.8008595871053,1,0
CI1502,exponential,TL,20,1868,2539,51932.0057087128,70586.3824916604,0,0,27.8008595871053,1,0
CI1502,exponential,TL,21,1947,1853,54128.2736160941,51514.9928149062,0,0,27.8008595871053,1,0
CI1502,exponential,TL,22,2561,1857,71198.0014025768,51626.1962532546,0,0,27.8008595871053,1,0
CI1502,exponential,TL,23,2691,1507,74812.1131489004,41895.8953977677,0,0,27.8008595871053,1,0
CI1502,exponential,TL,24,2801,2342,77870.207703482,65109.6131530007,0,0,27.8008595871053,1,0
CI1502,exponential,TL,25,3414,1320,94912.1346303776,36697.134654979,0,0,27.8008595871053,1,0
CI1502,exponential,TL,26,1755,2580,48790.5085753699,71726.2177347318,0,0,27.8008595871053,1,0
