CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1378,exponential,TL,1,264,840,13660.4651162791,43465.1162790698,0,0,51.7441860465116,1,0
CI1378,exponential,TL,2,357,836,18472.6744186047,43258.1395348837,0,0,51.7441860465116,1,0
CI1378,exponential,TL,3,384,786,19869.7674418605,40670.9302325581,0,0,51.7441860465116,1,0
CI1378,exponential,TL,4,447,937,23129.6511627907,48484.3023255814,0,0,51.7441860465116,1,0
CI1378,exponential,TL,5,454,746,23491.8604651163,38601.1627906977,0,0,51.7441860465116,1,0
CI1378,exponential,TL,6,543,686,28097.0930232558,35496.511627907,0,0,51.7441860465116,1,0
CI1378,exponential,TL,7,556,1326,28769.7674418605,68612.7906976744,0,0,51.7441860465116,1,0
CI1378,exponential,TL,8,623,1447,32236.6279069767,74873.8372093023,0,0,51.7441860465116,1,0
CI1378,exponential,TL,9,636,1417,32909.3023255814,73321.511627907,0,0,51.7441860465116,1,0
CI1378,exponential,TL,10,655,903,33892.4418604651,46725,0,0,51.7441860465116,1,0
CI1378,exponential,TL,11,675,1399,34927.3255813954,72390.1162790698,0,0,51.7441860465116,1,0
CI1378,exponential,TL,12,685,981,35444.7674418605,50761.0465116279,0,0,51.7441860465116,1,0
CI1378,exponential,TL,13,696,290,36013.9534883721,15005.8139534884,0,0,51.7441860465116,1,0
CI1378,exponential,TL,14,716,665,37048.8372093023,34409.8837209302,0,0,51.7441860465116,1,0
CI1378,exponential,TL,15,728,365,37669.7674418605,18886.6279069767,0,0,51.7441860465116,1,0
CI1378,exponential,TL,16,730,631,37773.2558139535,32650.5813953488,0,0,51.7441860465116,1,0
CI1378,exponential,TL,17,736,695,38083.7209302326,35962.2093023256,0,0,51.7441860465116,1,0
CI1378,exponential,TL,18,757,666,39170.3488372093,34461.6279069767,0,0,51.7441860465116,1,0
CI1378,exponential,TL,19,761,750,39377.3255813954,38808.1395348837,0,0,51.7441860465116,1,0
CI1378,exponential,TL,20,777,1440,40205.2325581395,74511.6279069767,0,0,51.7441860465116,1,0
CI1378,exponential,TL,21,812,1410,42016.2790697674,72959.3023255814,0,0,51.7441860465116,1,0
CI1378,exponential,TL,22,824,1443,42637.2093023256,74666.8604651163,0,0,51.7441860465116,1,0
CI1378,exponential,TL,23,888,667,45948.8372093023,34513.3720930233,0,0,51.7441860465116,1,0
CI1378,exponential,TL,24,892,1519,46155.8139534884,78599.4186046512,0,0,51.7441860465116,1,0
CI1378,exponential,TL,25,901,1652,46621.511627907,85481.3953488372,0,0,51.7441860465116,1,0
CI1378,exponential,TL,26,923,339,47759.8837209302,17541.2790697674,0,0,51.7441860465116,1,0
CI1378,exponential,TL,27,928,1217,48018.6046511628,62972.6744186047,0,0,51.7441860465116,1,0
CI1378,exponential,TL,28,965,1574,49933.1395348837,81445.3488372093,0,0,51.7441860465116,1,0
CI1378,exponential,TL,29,980,1253,50709.3023255814,64835.4651162791,0,0,51.7441860465116,1,0
CI1378,exponential,TL,30,991,1476,51278.488372093,76374.4186046512,0,0,51.7441860465116,1,0
CI1378,exponential,TL,31,983,1578,50864.5348837209,81652.3255813953,0,0,51.7441860465116,1,0
CI1378,exponential,TL,32,1010,1529,52261.6279069767,79116.8604651163,0,0,51.7441860465116,1,0
CI1378,exponential,TL,33,1026,1298,53089.5348837209,67163.9534883721,0,0,51.7441860465116,1,0
CI1378,exponential,TL,34,1050,708,54331.3953488372,36634.8837209302,0,0,51.7441860465116,1,0
CI1378,exponential,TL,35,1058,846,54745.3488372093,43775.5813953488,0,0,51.7441860465116,1,0
CI1378,exponential,TL,36,1199,952,62041.2790697674,49260.4651162791,0,0,51.7441860465116,1,0
CI1378,exponential,TL,37,1211,438,62662.2093023256,22663.9534883721,0,0,51.7441860465116,1,0
CI1378,exponential,TL,38,1246,375,64473.2558139535,19404.0697674419,0,0,51.7441860465116,1,0
CI1378,exponential,TL,39,1267,1320,65559.8837209302,68302.3255813953,0,0,51.7441860465116,1,0
CI1378,exponential,TL,40,1275,1196,65973.8372093023,61886.0465116279,0,0,51.7441860465116,1,0
CI1378,exponential,TL,41,1286,447,66543.023255814,23129.6511627907,0,0,51.7441860465116,1,0
